frame_idx,time_s,class_name,conf,x1,y1,x2,y2,X_m,Y_m,Z_m,distance_m
96,3.2,sports ball,0.785,722.72,202.9,752.37,233.24,0.653,-1.07,6.692,6.808
97,3.233,sports ball,0.808,724.09,203.19,753.97,234.07,0.663,-1.066,6.692,6.809
98,3.267,sports ball,0.832,726.58,203.67,756.79,234.58,0.68,-1.058,6.664,6.781
99,3.3,sports ball,0.834,730.57,203.61,760.37,234.58,0.702,-1.049,6.607,6.726
99,3.3,sports ball,0.487,1113.11,192.86,1142.92,227.24,3.472,-1.115,6.607,7.546
100,3.333,sports ball,0.836,734.21,204.17,764.48,234.51,0.73,-1.047,6.607,6.729
101,3.367,sports ball,0.82,739.37,203.31,769.33,234.23,0.764,-1.05,6.594,6.721
101,3.367,sports ball,0.341,1126.36,191.87,1155.82,227.22,3.56,-1.116,6.594,7.576
102,3.4,sports ball,0.841,744.26,203.3,774.04,233.73,0.799,-1.051,6.594,6.725
102,3.4,sports ball,0.264,1129.94,190.93,1160.21,225.94,3.588,-1.124,6.594,7.591
103,3.433,sports ball,0.833,748.42,202.62,779.46,233.19,0.824,-1.043,6.515,6.65
104,3.467,sports ball,0.816,754.1,202.69,783.72,233.47,0.859,-1.042,6.515,6.654
105,3.5,sports ball,0.84,759.76,202.78,789.83,232.54,0.92,-1.066,6.647,6.794
106,3.533,sports ball,0.83,763.23,201.69,793.86,232.46,0.931,-1.053,6.538,6.687
107,3.567,sports ball,0.809,770.45,202.27,799.87,232.9,0.995,-1.067,6.647,6.805
108,3.6,sports ball,0.831,773.9,202.62,803.9,232.56,1.028,-1.073,6.684,6.847
109,3.633,sports ball,0.833,778.69,202.03,809.3,233.15,1.065,-1.073,6.684,6.853
110,3.667,sports ball,0.831,781.54,202.95,812.6,233.35,1.064,-1.045,6.538,6.706
111,3.7,sports ball,0.823,785.83,203.32,816.17,234.61,1.091,-1.038,6.532,6.703
112,3.733,sports ball,0.823,787.55,203.85,818.14,235.16,1.101,-1.031,6.513,6.685
113,3.767,sports ball,0.848,790.42,207.22,820.7,237.83,1.121,-1.01,6.513,6.685
113,3.767,sports ball,0.432,1189.11,202.15,1221.59,236.86,3.975,-1.031,6.513,7.699
114,3.8,sports ball,0.845,790.14,208.63,820.9,239.03,1.12,-1.0,6.513,6.684
115,3.833,sports ball,0.836,788.9,208.93,819.95,239.2,1.118,-1.004,6.547,6.717
115,3.833,sports ball,0.28,1186.05,208.56,1220.4,243.88,3.98,-0.989,6.547,7.725
116,3.867,sports ball,0.867,779.66,206.38,811.11,237.2,1.037,-1.005,6.447,6.607
117,3.9,sports ball,0.835,771.85,203.71,802.83,235.06,0.981,-1.022,6.447,6.601
118,3.933,sports ball,0.838,763.03,203.09,794.1,234.88,0.918,-1.024,6.441,6.586
119,3.967,sports ball,0.844,758.7,205.38,789.03,236.49,0.884,-1.01,6.441,6.579
120,4.0,sports ball,0.858,751.94,207.25,780.94,237.27,0.833,-1.001,6.447,6.577
121,4.033,sports ball,0.851,745.32,207.35,775.43,238.2,0.801,-1.011,6.535,6.661
122,4.067,sports ball,0.83,738.25,206.97,767.74,237.07,0.754,-1.025,6.585,6.707
122,4.067,sports ball,0.301,1115.63,201.72,1152.63,234.16,3.505,-1.054,6.585,7.534
123,4.1,sports ball,0.862,733.28,207.28,763.24,237.46,0.729,-1.036,6.675,6.794
124,4.133,sports ball,0.852,727.62,206.84,757.08,237.68,0.684,-1.034,6.657,6.771
125,4.167,sports ball,0.857,730.65,207.63,760.95,238.52,0.709,-1.028,6.657,6.773
126,4.2,sports ball,0.811,720.92,207.12,751.48,237.04,0.637,-1.032,6.637,6.747
127,4.233,sports ball,0.821,721.52,205.43,752.58,236.39,0.644,-1.041,6.637,6.749
127,4.233,sports ball,0.252,1097.54,203.31,1127.07,233.96,3.373,-1.057,6.637,7.52
128,4.267,sports ball,0.847,713.22,203.58,745.55,234.9,0.581,-1.041,6.561,6.669
129,4.3,sports ball,0.852,715.2,204.31,748.09,235.24,0.59,-1.023,6.474,6.581
130,4.333,sports ball,0.844,709.89,207.67,740.31,238.02,0.543,-1.002,6.474,6.574
131,4.367,sports ball,0.823,709.28,209.14,740.12,238.81,0.551,-1.014,6.606,6.706
132,4.4,sports ball,0.862,702.2,209.66,732.41,238.5,0.498,-1.013,6.606,6.702
133,4.433,sports ball,0.866,699.65,208.01,730.26,238.4,0.481,-1.019,6.606,6.702
134,4.467,sports ball,0.685,693.07,207.77,724.07,238.2,0.434,-1.021,6.606,6.699
135,4.5,sports ball,0.482,690.39,207.36,720.24,237.67,0.413,-1.029,6.634,6.726
136,4.533,sports ball,0.764,688.09,207.23,718.35,237.33,0.398,-1.033,6.651,6.742
137,4.567,sports ball,0.749,683.61,207.1,713.43,237.42,0.364,-1.033,6.651,6.74
138,4.6,sports ball,0.767,683.43,207.26,712.99,237.73,0.363,-1.035,6.672,6.762
139,4.633,sports ball,0.707,679.41,208.19,708.54,238.54,0.332,-1.029,6.674,6.761
140,4.667,sports ball,0.765,680.33,208.37,709.32,238.62,0.339,-1.03,6.687,6.774
141,4.7,sports ball,0.751,675.45,209.0,703.4,238.19,0.302,-1.038,6.749,6.835
142,4.733,sports ball,0.696,677.05,209.48,705.14,238.74,0.316,-1.039,6.777,6.863
143,4.767,sports ball,0.748,675.27,209.48,704.21,238.85,0.311,-1.055,6.885,6.972
144,4.8,sports ball,0.754,676.23,209.43,705.67,238.92,0.32,-1.055,6.885,6.972
145,4.833,sports ball,0.79,675.37,208.75,704.51,238.59,0.312,-1.059,6.885,6.973
146,4.867,sports ball,0.818,676.76,208.31,705.89,238.55,0.319,-1.05,6.813,6.9
147,4.9,sports ball,0.809,676.77,208.18,705.93,238.34,0.319,-1.05,6.805,6.893
148,4.933,sports ball,0.854,679.92,208.13,709.56,238.5,0.342,-1.043,6.767,6.856
149,4.967,sports ball,0.863,681.25,208.16,710.31,238.53,0.35,-1.042,6.761,6.85
150,5.0,sports ball,0.852,684.29,208.49,713.19,237.82,0.372,-1.044,6.761,6.852
151,5.033,sports ball,0.858,687.23,208.13,716.03,238.1,0.394,-1.045,6.767,6.859
152,5.067,sports ball,0.803,691.74,208.12,721.72,238.52,0.431,-1.041,6.754,6.847
153,5.1,sports ball,0.857,696.2,207.96,725.78,238.63,0.462,-1.042,6.754,6.85
154,5.133,sports ball,0.844,703.02,208.0,732.34,238.39,0.509,-1.037,6.723,6.821
155,5.167,sports ball,0.771,709.8,207.97,739.74,238.57,0.556,-1.028,6.663,6.765
156,5.2,sports ball,0.835,717.99,207.47,747.95,237.93,0.615,-1.03,6.648,6.756
157,5.233,sports ball,0.814,722.4,206.04,753.19,237.71,0.65,-1.035,6.645,6.756
158,5.267,sports ball,0.809,728.99,204.86,759.74,236.64,0.696,-1.041,6.631,6.748
159,5.3,sports ball,0.81,734.51,204.98,766.73,235.62,0.719,-1.012,6.428,6.547
160,5.333,sports ball,0.635,739.15,206.04,772.49,235.6,0.755,-1.007,6.42,6.542
161,5.367,sports ball,0.872,748.2,208.8,781.89,239.76,0.815,-0.978,6.385,6.511
162,5.4,sports ball,0.786,752.55,212.79,785.86,247.94,0.844,-0.934,6.382,6.505
163,5.433,sports ball,0.841,764.04,219.91,796.58,253.02,0.897,-0.868,6.21,6.334
164,5.467,sports ball,0.812,770.32,225.35,804.37,259.66,0.93,-0.814,6.115,6.238
165,5.5,sports ball,0.824,782.91,229.86,816.87,265.32,0.974,-0.749,5.873,6.001
166,5.533,sports ball,0.83,793.04,235.52,828.07,270.18,1.041,-0.714,5.864,5.998
167,5.567,sports ball,0.845,804.56,239.69,840.77,275.68,1.104,-0.673,5.784,5.926
168,5.6,sports ball,0.834,817.51,244.45,855.1,282.53,1.185,-0.634,5.76,5.915
169,5.633,sports ball,0.833,832.22,250.89,871.05,289.66,1.238,-0.57,5.56,5.725
170,5.667,sports ball,0.87,845.78,256.89,885.68,296.28,1.263,-0.507,5.305,5.477
171,5.7,sports ball,0.849,862.52,262.55,903.68,303.07,1.33,-0.459,5.173,5.361
172,5.733,sports ball,0.85,876.73,267.82,918.65,310.09,1.383,-0.416,5.064,5.265
173,5.767,sports ball,0.861,894.75,274.4,937.87,316.58,1.442,-0.368,4.914,5.135
174,5.8,sports ball,0.86,905.5,280.93,949.24,323.17,1.457,-0.323,4.768,4.996
175,5.833,sports ball,0.867,917.82,287.48,964.06,330.78,1.508,-0.282,4.707,4.95
176,5.867,sports ball,0.873,920.08,294.12,965.78,338.23,1.507,-0.244,4.669,4.912
177,5.9,sports ball,0.86,923.81,301.32,971.82,347.43,1.471,-0.193,4.484,4.722
178,5.933,sports ball,0.874,919.93,307.69,967.64,354.24,1.446,-0.161,4.47,4.701
179,5.967,sports ball,0.874,917.34,315.74,966.34,363.27,1.371,-0.113,4.265,4.482
180,6.0,sports ball,0.863,908.29,323.42,958.14,371.65,1.329,-0.075,4.259,4.462
181,6.033,sports ball,0.862,899.77,330.84,950.31,379.58,1.26,-0.039,4.159,4.346
182,6.067,sports ball,0.872,888.16,337.57,939.81,387.8,1.191,-0.004,4.093,4.263
183,6.1,sports ball,0.86,873.76,344.75,925.99,394.77,1.114,0.027,4.044,4.194
184,6.133,sports ball,0.857,860.23,351.67,913.74,403.89,1.03,0.061,3.941,4.073
185,6.167,sports ball,0.877,844.33,361.92,900.06,414.67,0.962,0.106,3.926,4.044
186,6.2,sports ball,0.902,830.43,369.59,886.2,423.43,0.873,0.137,3.797,3.898
187,6.233,sports ball,0.886,812.93,378.97,869.69,434.56,0.782,0.175,3.7,3.786
188,6.267,sports ball,0.92,798.54,386.1,856.17,442.56,0.718,0.204,3.663,3.738
189,6.3,sports ball,0.881,783.52,395.88,840.86,452.64,0.641,0.238,3.573,3.638
190,6.333,sports ball,0.889,768.23,406.17,828.09,465.08,0.577,0.278,3.519,3.577
191,6.367,sports ball,0.897,752.52,418.56,814.44,478.13,0.52,0.327,3.519,3.572
192,6.4,sports ball,0.874,737.93,428.47,799.69,490.18,0.445,0.355,3.38,3.427
193,6.433,sports ball,0.901,725.91,441.78,789.97,505.81,0.396,0.4,3.304,3.352
194,6.467,sports ball,0.908,712.69,451.93,778.0,519.52,0.345,0.436,3.251,3.298
195,6.5,sports ball,0.898,698.95,467.13,766.37,537.23,0.289,0.477,3.134,3.183
196,6.533,sports ball,0.886,683.66,480.61,753.44,552.39,0.232,0.507,3.021,3.072
197,6.567,sports ball,0.888,668.43,497.07,739.6,570.15,0.177,0.545,2.919,2.975
198,6.6,sports ball,0.891,651.29,513.55,725.24,591.31,0.123,0.588,2.836,2.899
199,6.633,sports ball,0.893,633.99,532.02,709.66,614.19,0.071,0.64,2.783,2.856
200,6.667,sports ball,0.882,613.15,548.8,692.87,635.9,0.013,0.665,2.646,2.728
201,6.7,sports ball,0.89,592.36,572.86,674.95,663.17,-0.042,0.711,2.543,2.641
202,6.733,sports ball,0.883,570.76,594.86,655.73,687.79,-0.093,0.734,2.406,2.518
203,6.767,sports ball,0.867,547.36,618.64,636.33,718.14,-0.144,0.777,2.322,2.453
204,6.8,sports ball,0.841,526.14,645.1,617.02,720.0,-0.196,0.813,2.322,2.468
205,6.833,sports ball,0.731,507.45,669.61,599.18,719.07,-0.242,0.843,2.322,2.482
380,12.667,sports ball,0.431,310.27,686.73,397.28,719.21,-0.782,0.903,2.422,2.7
381,12.7,sports ball,0.723,323.67,669.06,419.29,719.12,-0.837,1.0,2.756,3.049
382,12.733,sports ball,0.822,344.29,652.39,436.4,719.81,-0.78,0.976,2.756,3.026
383,12.767,sports ball,0.843,361.92,634.94,453.67,720.0,-0.727,0.95,2.756,3.004
384,12.8,sports ball,0.847,379.05,619.2,469.36,713.18,-0.619,0.836,2.516,2.723
385,12.833,sports ball,0.888,396.8,604.97,484.65,693.69,-0.518,0.714,2.274,2.439
386,12.867,sports ball,0.867,413.01,590.87,499.78,678.24,-0.479,0.677,2.274,2.42
387,12.9,sports ball,0.894,431.07,576.45,513.6,662.14,-0.439,0.638,2.274,2.402
388,12.933,sports ball,0.897,444.92,565.72,526.82,648.46,-0.411,0.617,2.305,2.421
389,12.967,sports ball,0.888,460.49,551.98,540.75,633.12,-0.387,0.6,2.386,2.491
390,13.0,sports ball,0.889,474.65,542.84,551.14,620.31,-0.363,0.584,2.438,2.533
391,13.033,sports ball,0.89,489.16,530.04,563.22,606.25,-0.334,0.559,2.487,2.571
392,13.067,sports ball,0.896,500.45,521.65,574.67,596.4,-0.317,0.56,2.608,2.686
393,13.1,sports ball,0.892,512.65,511.02,585.32,583.81,-0.292,0.539,2.671,2.741
394,13.133,sports ball,0.874,523.88,502.03,594.42,573.03,-0.264,0.515,2.695,2.756
395,13.167,sports ball,0.888,535.97,493.2,605.32,562.77,-0.236,0.498,2.76,2.814
396,13.2,sports ball,0.896,545.89,482.74,614.2,552.16,-0.213,0.479,2.836,2.884
397,13.233,sports ball,0.881,555.58,475.21,623.12,542.55,-0.188,0.461,2.89,2.932
398,13.267,sports ball,0.902,566.01,465.78,631.46,532.61,-0.159,0.434,2.915,2.951
399,13.3,sports ball,0.864,575.13,458.63,639.58,523.93,-0.134,0.417,2.976,3.009
400,13.333,sports ball,0.901,584.77,450.64,648.15,515.67,-0.107,0.398,3.035,3.063
401,13.367,sports ball,0.863,593.05,443.39,655.36,506.18,-0.083,0.378,3.094,3.118
402,13.4,sports ball,0.901,601.91,436.33,662.55,498.08,-0.056,0.356,3.126,3.147
403,13.433,sports ball,0.864,609.85,431.18,670.11,491.87,-0.03,0.345,3.209,3.228
404,13.467,sports ball,0.888,617.64,425.19,677.87,485.4,-0.003,0.33,3.28,3.297
405,13.5,sports ball,0.871,625.77,418.24,685.5,476.38,0.026,0.305,3.319,3.333
406,13.533,sports ball,0.874,633.03,412.01,691.23,469.61,0.05,0.282,3.333,3.345
407,13.567,sports ball,0.887,640.18,405.57,696.73,463.12,0.074,0.264,3.406,3.417
408,13.6,sports ball,0.873,647.77,400.54,703.97,457.14,0.104,0.248,3.467,3.477
